iter	Logloss
0	0.6234988563
1	0.5780745212
2	0.5430180787
3	0.5212435933
4	0.5067541587
5	0.4962726611
6	0.4877762216
7	0.4817694907
8	0.4768437021
9	0.4736121946
10	0.470627039
11	0.4686497238
12	0.467193373
13	0.4652752493
14	0.4643634524
15	0.463327285
16	0.4623898363
17	0.4617661026
18	0.4611887115
19	0.4608475851
20	0.4606350596
21	0.4600123982
22	0.4598384688
23	0.4597209425
24	0.4595319039
25	0.4593723641
26	0.4592908927
27	0.4592127629
28	0.458885442
29	0.4588249226
30	0.4586916767
31	0.4585763627
32	0.4584152683
33	0.458248782
34	0.4580597092
35	0.4578153694
36	0.4576239998
37	0.4573434297
38	0.4572385158
39	0.4572035677
40	0.4570447526
41	0.4567891292
42	0.4567480229
43	0.4566245192
44	0.4565335381
45	0.4564589394
46	0.4563730021
47	0.4561702605
48	0.4559669281
49	0.4558249072
50	0.4557317485
51	0.455417928
52	0.4552158543
53	0.4550743865
54	0.4548906499
55	0.4545428899
56	0.4544860684
57	0.4542502829
58	0.4541532341
59	0.4539378918
60	0.4536578635
61	0.4536499714
62	0.4535827176
63	0.4534108465
64	0.4532958062
65	0.452938427
66	0.4525661184
67	0.4520992845
68	0.4520195832
69	0.4519465858
70	0.4516632447
71	0.4512579639
72	0.4510434617
73	0.4509418653
74	0.4509358957
75	0.4505476575
76	0.4502475135
77	0.4501772544
78	0.4500816055
79	0.4499883242
80	0.4497781489
81	0.4496627983
82	0.4494763777
83	0.4493106692
84	0.4493007884
85	0.4492452467
86	0.4491668878
87	0.449034765
88	0.4486676373
89	0.4484801904
90	0.4484707568
91	0.4483424371
92	0.4482792789
93	0.4482723209
94	0.4479515097
95	0.4479455036
96	0.4478522917
97	0.4478451843
98	0.4478382367
99	0.4477850547
100	0.4474733798
101	0.4472041302
102	0.446977202
103	0.4468973211
104	0.4468239607
105	0.446766456
106	0.4466942067
107	0.4466186299
108	0.4465609352
109	0.4464931621
110	0.4463059998
111	0.4461528473
112	0.4460863373
113	0.4460718455
114	0.4460308814
115	0.4457604281
116	0.4457449488
117	0.4456830287
118	0.4454255986
119	0.445418408
120	0.4454063487
121	0.4450826541
122	0.444850258
123	0.4448031099
124	0.4447914998
125	0.4447361107
126	0.4446122365
127	0.4446054037
128	0.4442997837
129	0.4442955542
130	0.4439075775
131	0.4438491749
132	0.4436372225
133	0.4436242663
134	0.443367523
135	0.4433577689
136	0.4433476055
137	0.4431910643
138	0.4429508313
139	0.4429404725
140	0.4428877617
141	0.4428228365
142	0.4426861237
143	0.4426780701
144	0.4426653449
145	0.4425999699
146	0.4425358615
147	0.4424499744
148	0.4424242346
149	0.4423631537
150	0.4422971306
151	0.4422894422
152	0.4422788461
153	0.4421410461
154	0.4420774768
155	0.4416400777
156	0.4415966294
157	0.4415478435
158	0.4415417062
159	0.4415345605
160	0.4415297701
161	0.4414424911
162	0.4412207836
163	0.4412086833
164	0.4409374585
165	0.4409228255
166	0.4409173455
167	0.4409095527
168	0.4406474009
169	0.4406398855
170	0.4405000842
171	0.4404927676
172	0.4404501048
173	0.4403819747
174	0.4401950884
175	0.4401325258
176	0.4399813354
177	0.4399724374
178	0.4397609113
179	0.4397055142
180	0.4396453454
181	0.439546745
182	0.4392029589
183	0.4391727406
184	0.4389170195
185	0.4387130763
186	0.4385077051
187	0.4384935666
188	0.4384636808
189	0.4384550202
190	0.4382473685
191	0.4380201353
192	0.4380090041
193	0.4379221639
194	0.4379171137
195	0.4376193807
196	0.4375914163
197	0.4375144044
198	0.4372271389
199	0.4372204656
200	0.4372106878
201	0.4371234249
202	0.4370532124
203	0.4369999068
204	0.4369926679
205	0.4369671027
206	0.4369467391
207	0.4369403657
208	0.4369233504
209	0.4368105744
210	0.4367700971
211	0.4365889656
212	0.4364481754
213	0.4361449396
214	0.4361352753
215	0.4361238602
216	0.4360887581
217	0.4359146086
218	0.4359068051
219	0.435898404
220	0.4358857756
221	0.4358194077
222	0.4356653881
223	0.4356581465
224	0.4356468506
225	0.4355648192
226	0.4355535673
227	0.4355495477
228	0.4353424843
229	0.4353357077
230	0.4351496197
231	0.4351427153
232	0.4350885503
233	0.435063454
234	0.4350242616
235	0.4350160895
236	0.4350061764
237	0.434858993
238	0.4345828909
239	0.4345054484
240	0.4342902764
241	0.4342390209
242	0.4342327546
243	0.434152491
244	0.434141848
245	0.4341230684
246	0.4340557284
247	0.4339396405
248	0.433813448
249	0.4338050273
