main_artist_id,collab_artist_id,frequency
3TVXtAsR1Inumwj472S9r4,1XkoF8ryArs86LZvFOkbyr,2
3TVXtAsR1Inumwj472S9r4,3DiDSECUqqY1AuBP8qtaIa,2
3TVXtAsR1Inumwj472S9r4,7mDU6nMUJnOSY2Hkjz5oqM,1
3TVXtAsR1Inumwj472S9r4,5OrB6Jhhrl9y2PK0pSV4VP,1
3TVXtAsR1Inumwj472S9r4,0VRj0yCOv2FXJNP47XQnx5,1
3TVXtAsR1Inumwj472S9r4,5lwmRuXgjX8xIwlnauTZIP,1
3TVXtAsR1Inumwj472S9r4,3YJMzGjAm245zwJooY7PEj,1
3TVXtAsR1Inumwj472S9r4,13y7CgLHjMVRMDqxdx0Xdo,1
3TVXtAsR1Inumwj472S9r4,6wMr4zKPrrR0UVz08WtUWc,1
3TVXtAsR1Inumwj472S9r4,1CoZyIx7UvdxT5c8UkMzHd,1
3TVXtAsR1Inumwj472S9r4,5ZS223C6JyBfXasXxrRqOk,1
3TVXtAsR1Inumwj472S9r4,1URnnhqYAYcrqrcwql10ft,1
3TVXtAsR1Inumwj472S9r4,6l3HvQ5sa6mXTsMTB19rO5,1
3TVXtAsR1Inumwj472S9r4,3S0tlB4fE7ChxI2pWz8Xip,1
3TVXtAsR1Inumwj472S9r4,50co4Is1HCEo8bhOyUWKpn,1
3TVXtAsR1Inumwj472S9r4,6Ip8FS7vWT1uKkJSweANQK,1
3TVXtAsR1Inumwj472S9r4,0NbfKEOTQCcwd6o7wSDOHI,1
3TVXtAsR1Inumwj472S9r4,6vWDO969PvNqNYHIOW5v0m,1
3TVXtAsR1Inumwj472S9r4,67nwj3Y5sZQLl72VNUHEYE,1
3TVXtAsR1Inumwj472S9r4,7e1ICztHM2Sc4JNLxeMXYl,1
3TVXtAsR1Inumwj472S9r4,7v9bFXCdSMA2o3gS4nvp0F,1
3TVXtAsR1Inumwj472S9r4,2iojnBLj0qIMiKPvVhLnsH,1
3TVXtAsR1Inumwj472S9r4,2cADQgiLMjNhbsfeN52Bf3,1
3TVXtAsR1Inumwj472S9r4,7LnaAXbDVIL75IVPnndf7w,1
3TVXtAsR1Inumwj472S9r4,5Y5TRrQiqgUO4S36tzjIRZ,1
3TVXtAsR1Inumwj472S9r4,0EeQBlQJFiAfJeVN2vT9s0,1
3TVXtAsR1Inumwj472S9r4,4RxUeUyMaEe2T5tvULq5j0,1
3TVXtAsR1Inumwj472S9r4,1eNtnCEsJ1TF1TdXiK4T0H,1
3TVXtAsR1Inumwj472S9r4,0YWxKQj2Go9CGHCp77UOyy,1
3TVXtAsR1Inumwj472S9r4,4sglKanXuoU0gqGYP3wiNv,1
3TVXtAsR1Inumwj472S9r4,1W3FSF1BLpY3hlVIgvenLz,1
06HL4z0CvFAxyc27GXpf02,6eUKZXaKkcviH0Ku9w2n3V,3
06HL4z0CvFAxyc27GXpf02,6aZyMrc4doVtZyKNilOmwu,3
06HL4z0CvFAxyc27GXpf02,5ZsFI1h6hIdQRw2ti0hz81,2
06HL4z0CvFAxyc27GXpf02,6roFdX1y5BYSbp60OTJWMd,2
06HL4z0CvFAxyc27GXpf02,0u2FHSq3ln94y5Q57xazwf,2
06HL4z0CvFAxyc27GXpf02,3fCQnw6VSudXBTN5d2QP2z,2
06HL4z0CvFAxyc27GXpf02,1RyvyyTE3xzB2ZywiAwp0i,1
06HL4z0CvFAxyc27GXpf02,2YZyLoL8N0Wb9xBt1NhZWg,1
06HL4z0CvFAxyc27GXpf02,0vWCyXMrrvMlCcepuOJaGI,1
06HL4z0CvFAxyc27GXpf02,6J7rw7NELJUCThPbAfyLIE,1
06HL4z0CvFAxyc27GXpf02,5ndkK3dpZLKtBklKjxNQwT,1
1Xyo4u8uXC1ZmMpatF05PJ,66CXWjxzNUsdJxJ2JdwvnR,4
1Xyo4u8uXC1ZmMpatF05PJ,4tZwfgrHOc3mvqYlEYSvVi,3
1Xyo4u8uXC1ZmMpatF05PJ,3TVXtAsR1Inumwj472S9r4,3
